Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,Volume,2008,Number of cases,
Provincial,Newfoundland and Labrador,,Radiation Therapy,% Meeting Benchmark,2008,Proportion,85.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Radiation Therapy,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Radiation Therapy,Volume,2008,Number of cases,823.0
Provincial,Nova Scotia,,Bladder Cancer Surgery,50th Percentile,2008,Days,
Provincial,Nova Scotia,,Bladder Cancer Surgery,90th Percentile,2008,Days,
Provincial,Nova Scotia,,Bladder Cancer Surgery,Volume,2008,Number of cases,
Provincial,Nova Scotia,,Breast Cancer Surgery,50th Percentile,2008,Days,
Provincial,Nova Scotia,,Breast Cancer Surgery,90th Percentile,2008,Days,
Provincial,Nova Scotia,,Breast Cancer Surgery,Volume,2008,Number of cases,
Provincial,Nova Scotia,,CABG,% Meeting Benchmark,2008,Proportion,100.0
Provincial,Nova Scotia,,CABG,50th Percentile,2008,Days,26.0
Provincial,Nova Scotia,,CABG,90th Percentile,2008,Days,65.0
Provincial,Nova Scotia,,CABG,Volume,2008,Number of cases,91.0
Provincial,Nova Scotia,,Cataract Surgery,% Meeting Benchmark,2008,Proportion,75.0
Provincial,Nova Scotia,,Cataract Surgery,50th Percentile,2008,Days,54.0
Provincial,Nova Scotia,,Cataract Surgery,90th Percentile,2008,Days,199.0
Provincial,Nova Scotia,,Cataract Surgery,Volume,2008,Number of cases,4686.0
Provincial,Nova Scotia,,Colorectal Cancer Surgery,50th Percentile,2008,Days,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,90th Percentile,2008,Days,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,Volume,2008,Number of cases,
Provincial,Nova Scotia,,CT Scan,50th Percentile,2008,Days,
Provincial,Nova Scotia,,CT Scan,90th Percentile,2008,Days,
Provincial,Nova Scotia,,CT Scan,Volume,2008,Number of cases,
Provincial,Nova Scotia,,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
Provincial,Nova Scotia,,Hip Fracture Repair,50th Percentile,2008,Hours,
Provincial,Nova Scotia,,Hip Fracture Repair,90th Percentile,2008,Hours,
Provincial,Nova Scotia,,Hip Fracture Repair,Volume,2008,Number of cases,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,
Provincial,Nova Scotia,,Hip Replacement,% Meeting Benchmark,2008,Proportion,45.0
Provincial,Nova Scotia,,Hip Replacement,50th Percentile,2008,Days,201.0
Provincial,Nova Scotia,,Hip Replacement,90th Percentile,2008,Days,642.0
Provincial,Nova Scotia,,Hip Replacement,Volume,2008,Number of cases,486.0
Provincial,Nova Scotia,,Knee Replacement,% Meeting Benchmark,2008,Proportion,46.0
Provincial,Nova Scotia,,Knee Replacement,50th Percentile,2008,Days,213.0
Provincial,Nova Scotia,,Knee Replacement,90th Percentile,2008,Days,647.0
Provincial,Nova Scotia,,Knee Replacement,Volume,2008,Number of cases,660.0
Provincial,Nova Scotia,,Lung Cancer Surgery,50th Percentile,2008,Days,
Provincial,Nova Scotia,,Lung Cancer Surgery,90th Percentile,2008,Days,
Provincial,Nova Scotia,,Lung Cancer Surgery,Volume,2008,Number of cases,
Provincial,Nova Scotia,,MRI Scan,50th Percentile,2008,Days,
Provincial,Nova Scotia,,MRI Scan,90th Percentile,2008,Days,
Provincial,Nova Scotia,,MRI Scan,Volume,2008,Number of cases,
Provincial,Nova Scotia,,Prostate Cancer Surgery,50th Percentile,2008,Days,
Provincial,Nova Scotia,,Prostate Cancer Surgery,90th Percentile,2008,Days,
