FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_COMP_50TH,PERCENTILE_COMP_90TH
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Knee Replacement,413,248,14.1,33.8
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Laparoscopy,<5,31,1.4,4.4
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Laparotomy,<5,0,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Ligament Surgery,<5,<5,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Lipectomy,8,5,2.4,96.5
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Male Reproductive Surgery,111,49,11.1,36.4
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Mastectomy,<5,15,3,6
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Mastoidectomy,9,<5,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Nasal Surgery,31,35,2.4,4.1
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Nerve Surgery,14,15,4,9.4
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Other Ear Surgery,<5,0,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Other Eye Surgery,149,90,9,31.4
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Other Joint Reconstruction,39,11,11.7,57
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Other Orthopaedic Surgery,90,43,7.9,34.8
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Other Urology Surgery,48,29,7,15.1
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Parotidectomy,<5,<5,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Prostate Surgery,222,93,13.6,34.8
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Rectal Surgery,<5,6,4.4,7
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Shoulder Surgery,150,51,10.9,33
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Skin Surgery,84,36,2.7,11.1
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Skin Tumour Removal,156,89,5.3,23.3
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Tendon Surgery,7,<5,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Thyroidectomy,<5,<5,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Tonsillectomy/Adenoidectomy,14,<5,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Tympanoplasty,23,5,11.1,13.4
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Uterine Surgery,113,68,7.4,18.4
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Vaginal Repair,<5,<5,,
2025/26,Q2,Vancouver Coastal,UBC Health Sciences Centre Hospital,Varicose Veins Ligation/Stripping,11,17,2.3,105.4
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,All Other Procedures,221,194,3.9,12.5
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,All Procedures,3014,3045,3.7,15.9
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Aortic Aneurysm Repair,12,20,4,11.2
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Biopsy in OR,9,13,1.7,5.6
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Bladder Surgery,31,22,6.1,11.7
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Bowel Resection,16,30,3.1,10.8
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Breast Reconstruction,13,12,2.9,7.8
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Breast Reduction,12,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Cataract Surgery,711,1159,3.6,13.3
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Cholecystectomy,19,9,7,21
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Colostomy/Ileostomy,12,8,5.1,15.9
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Cone Biopsy,<5,5,2.1,3.5
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Cranial Surgery,49,88,2.4,10
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Cyst/Ganglion Removal,11,0,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,D&C and Related Surgery,<5,6,1,4.5
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Dental Surgery,<5,0,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Endarterectomy,<5,13,4.1,9.4
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Esophagectomy,6,9,2.4,17.4
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Examination Under Anaesthetic,<5,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Excision Lesion/Tumour,157,141,3.7,11
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Facial Bone Reconstruction,6,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Fallopian Tube/Ovarian Surgery,14,24,5,13.7
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Fistula Repair - Non Vascular,<5,0,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Foreign Body Removal Surgery,7,15,5.1,10
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Fracture Repair,15,7,2,27.4
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Free Flap Graft,41,18,11.9,22.7
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Hand/Wrist Surgery,9,5,8.1,69.5
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Hernia Repair - Abdominal,87,33,8.6,67.5
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Hernia Repair - Hiatal,55,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Hip Replacement,9,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Kidney/Bladder Stone Removal,73,94,5.7,15
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Knee Replacement,10,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Laparoscopy,<5,15,1.4,2.5
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Laparotomy,16,9,4.6,13.9
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Lens & Vitreous (non-cataract) Surgery,204,99,2,23.1
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Ligament Surgery,<5,0,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Lung Surgery,66,96,2.4,14.9
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Male Reproductive Surgery,6,5,4.1,22.7
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Mastectomy,<5,5,2.1,5.4
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Mastoidectomy,<5,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Nasal Surgery,11,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Nerve Surgery,16,14,5.6,8.3
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Oral Cavity & Pharynx Surgery,12,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Other Ear Surgery,<5,0,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Other Eye Surgery,240,286,4.3,16.9
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Other Joint Reconstruction,<5,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Other Orthopaedic Surgery,65,21,2.1,11.9
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Other Urology Surgery,53,44,8.4,25.8
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Parotidectomy,27,8,5.9,19.1
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Prostate Surgery,148,72,12.6,25.4
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Scope of Chest,<5,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Shunt Insertion/Removal,<5,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Sinus Surgery,25,19,2.4,9.1
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Skin Surgery,53,15,10.1,37.6
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Skin Tumour Removal,10,7,3.6,52.9
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Spinal/Back Surgery,245,104,8.5,21.5
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Thoracotomy,5,<5,,
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Thyroidectomy,49,22,4.9,22.8
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Uterine Surgery,55,138,3.1,6.1
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Vaginal Repair,6,16,3.4,11.4
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Varicose Veins Ligation/Stripping,19,13,3,7.1
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Vascular Bypass Graft - Non Cardiac,6,10,2.7,5.1
2025/26,Q2,Vancouver Coastal,Vancouver General Hospital,Vascular Surgery - Other,40,45,3,14
2025/26,Q2,Vancouver Coastal,qathet General Hospital,All Other Procedures,6,6,6.9,9.9
2025/26,Q2,Vancouver Coastal,qathet General Hospital,All Procedures,282,217,9,29
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Appendectomy,<5,<5,,
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Biopsy in OR,6,6,5,7.1
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Bowel Resection,<5,<5,,
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Cataract Surgery,202,122,23.9,30
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Cholecystectomy,<5,<5,,
2025/26,Q2,Vancouver Coastal,qathet General Hospital,D&C and Related Surgery,10,8,7.9,9.9
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Dental Surgery,15,7,16.9,27.3
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Examination Under Anaesthetic,6,9,2.9,7.1
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Hernia Repair - Abdominal,15,25,3,4.1
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Laparoscopy,<5,<5,,
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Mastectomy,<5,<5,,
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Other Eye Surgery,<5,5,15,23.1
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Skin Tumour Removal,<5,<5,,
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Uterine Surgery,6,<5,,
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Vaginal Repair,<5,0,,
2025/26,Q2,Vancouver Coastal,qathet General Hospital,Varicose Veins Ligation/Stripping,<5,0,,
2025/26,Q2,Vancouver Island,All Facilities,Abdominoplasty,40,17,7.7,28.3
2025/26,Q2,Vancouver Island,All Facilities,All Other Procedures,413,342,4.9,19.6
2025/26,Q2,Vancouver Island,All Facilities,All Procedures,20003,13470,7.4,30.9
2025/26,Q2,Vancouver Island,All Facilities,Aortic Aneurysm Repair,14,12,6.2,12.3
2025/26,Q2,Vancouver Island,All Facilities,Appendectomy,13,21,7.4,19.1
2025/26,Q2,Vancouver Island,All Facilities,Bariatric Surgery,45,39,15.7,31.5
2025/26,Q2,Vancouver Island,All Facilities,Biopsy in OR,109,131,4,14.1
2025/26,Q2,Vancouver Island,All Facilities,Bladder Surgery,176,267,3.3,9.6
2025/26,Q2,Vancouver Island,All Facilities,Bowel Resection,139,127,4,19
2025/26,Q2,Vancouver Island,All Facilities,Breast Biopsy,12,17,3.3,8.9
2025/26,Q2,Vancouver Island,All Facilities,Breast Reconstruction,66,26,10.9,30.5
2025/26,Q2,Vancouver Island,All Facilities,Breast Reduction,252,123,11.3,48
2025/26,Q2,Vancouver Island,All Facilities,CSF Drainage,<5,0,,
2025/26,Q2,Vancouver Island,All Facilities,Cataract Surgery,4246,3863,7.6,26.1
2025/26,Q2,Vancouver Island,All Facilities,Cholecystectomy,241,171,6,30.9
2025/26,Q2,Vancouver Island,All Facilities,Colostomy/Ileostomy,38,24,4.7,18.2
2025/26,Q2,Vancouver Island,All Facilities,Cone Biopsy,20,25,5.3,11.7
2025/26,Q2,Vancouver Island,All Facilities,Cranial Surgery,13,22,1.4,5.1
2025/26,Q2,Vancouver Island,All Facilities,Cyst/Ganglion Removal,96,47,6,13.2
2025/26,Q2,Vancouver Island,All Facilities,D&C and Related Surgery,120,92,7.7,21.6
2025/26,Q2,Vancouver Island,All Facilities,Dental Surgery,1352,643,12.9,44
2025/26,Q2,Vancouver Island,All Facilities,Endarterectomy,30,51,3.3,11
2025/26,Q2,Vancouver Island,All Facilities,Esophagectomy,29,5,14.3,18.4
2025/26,Q2,Vancouver Island,All Facilities,Examination Under Anaesthetic,31,18,8.9,13.9
2025/26,Q2,Vancouver Island,All Facilities,Excision Gynecomastia,12,7,4.4,36
2025/26,Q2,Vancouver Island,All Facilities,Excision Lesion/Tumour,144,135,4.7,25.4
2025/26,Q2,Vancouver Island,All Facilities,Facial Bone Reconstruction,33,26,10.8,22.9
2025/26,Q2,Vancouver Island,All Facilities,Fallopian Tube/Ovarian Surgery,245,149,10.1,30.8
2025/26,Q2,Vancouver Island,All Facilities,Fistula Repair - Non Vascular,<5,<5,,
2025/26,Q2,Vancouver Island,All Facilities,Foot/Ankle Surgery,57,21,7.7,19.4
2025/26,Q2,Vancouver Island,All Facilities,Foreign Body Removal Surgery,18,19,2,17.9
2025/26,Q2,Vancouver Island,All Facilities,Fracture Repair,23,53,0.6,2.6
2025/26,Q2,Vancouver Island,All Facilities,Free Flap Graft,7,<5,,
2025/26,Q2,Vancouver Island,All Facilities,Gastrostomy/Jejunostomy,<5,<5,,
2025/26,Q2,Vancouver Island,All Facilities,Hand/Wrist Surgery,117,120,4,9.9
2025/26,Q2,Vancouver Island,All Facilities,Hernia Repair - Abdominal,1047,611,7.9,30.3
2025/26,Q2,Vancouver Island,All Facilities,Hernia Repair - Hiatal,96,35,17,41.8
2025/26,Q2,Vancouver Island,All Facilities,Hip Replacement,1023,471,12.7,42.4
2025/26,Q2,Vancouver Island,All Facilities,Kidney/Bladder Stone Removal,177,211,3.6,13.1
2025/26,Q2,Vancouver Island,All Facilities,Knee - ACL Repair,150,85,8.3,20.7
2025/26,Q2,Vancouver Island,All Facilities,Knee - Meniscectomy,101,40,7.8,30
2025/26,Q2,Vancouver Island,All Facilities,Knee Arthroscopy,229,152,9.7,29.8
2025/26,Q2,Vancouver Island,All Facilities,Knee Replacement,1833,697,15.1,58.1
2025/26,Q2,Vancouver Island,All Facilities,Laparoscopy,79,42,12.6,38.5
2025/26,Q2,Vancouver Island,All Facilities,Laparotomy,<5,<5,,
2025/26,Q2,Vancouver Island,All Facilities,Lens & Vitreous (non-cataract) Surgery,203,224,5.4,29.3
2025/26,Q2,Vancouver Island,All Facilities,Ligament Surgery,<5,<5,,
2025/26,Q2,Vancouver Island,All Facilities,Lipectomy,12,<5,,
2025/26,Q2,Vancouver Island,All Facilities,Male Reproductive Surgery,170,89,10.1,41.6
2025/26,Q2,Vancouver Island,All Facilities,Mastectomy,119,300,2.7,6
2025/26,Q2,Vancouver Island,All Facilities,Mastoidectomy,11,6,13.4,20.5
2025/26,Q2,Vancouver Island,All Facilities,Myringotomy,91,75,8.4,33.7
2025/26,Q2,Vancouver Island,All Facilities,Nasal Surgery,359,120,22.1,58.2
2025/26,Q2,Vancouver Island,All Facilities,Nerve Surgery,78,49,4.6,22
2025/26,Q2,Vancouver Island,All Facilities,Oral Cavity & Pharynx Surgery,68,55,7.3,37
2025/26,Q2,Vancouver Island,All Facilities,Other Ear Surgery,6,9,7.6,12.6
2025/26,Q2,Vancouver Island,All Facilities,Other Eye Surgery,375,247,5.7,25.9
2025/26,Q2,Vancouver Island,All Facilities,Other Joint Reconstruction,252,123,10.4,37.2
2025/26,Q2,Vancouver Island,All Facilities,Other Orthopaedic Surgery,447,266,7.5,32.8
2025/26,Q2,Vancouver Island,All Facilities,Other Urology Surgery,253,298,3.7,16
2025/26,Q2,Vancouver Island,All Facilities,Parotidectomy,35,16,6.2,47.9
2025/26,Q2,Vancouver Island,All Facilities,Prostate Surgery,529,352,4.1,18.4
2025/26,Q2,Vancouver Island,All Facilities,Rectal Surgery,164,83,7.6,26.1
2025/26,Q2,Vancouver Island,All Facilities,Scope of Chest,66,77,6.1,10.3
2025/26,Q2,Vancouver Island,All Facilities,Shoulder Surgery,439,149,18.1,41.1
2025/26,Q2,Vancouver Island,All Facilities,Sinus Surgery,241,63,19.6,60.5
2025/26,Q2,Vancouver Island,All Facilities,Skin Surgery,22,23,2,12.5
2025/26,Q2,Vancouver Island,All Facilities,Skin Tumour Removal,120,149,3.3,12.3
2025/26,Q2,Vancouver Island,All Facilities,Sphincterotomy,<5,<5,,
2025/26,Q2,Vancouver Island,All Facilities,Spinal/Back Surgery,258,65,5.6,34.1
2025/26,Q2,Vancouver Island,All Facilities,Tendon Surgery,53,33,4.9,15.1
2025/26,Q2,Vancouver Island,All Facilities,Thoracotomy,5,<5,,
2025/26,Q2,Vancouver Island,All Facilities,Thyroidectomy,111,49,7,41.5
2025/26,Q2,Vancouver Island,All Facilities,Tonsillectomy/Adenoidectomy,318,140,13.4,49.4
2025/26,Q2,Vancouver Island,All Facilities,Tympanoplasty,46,15,27,43
2025/26,Q2,Vancouver Island,All Facilities,Uterine Surgery,1176,955,7.9,29.3
2025/26,Q2,Vancouver Island,All Facilities,Vaginal Repair,189,79,20.4,46.3
2025/26,Q2,Vancouver Island,All Facilities,Varicose Veins Ligation/Stripping,748,223,14.4,44.3
2025/26,Q2,Vancouver Island,All Facilities,Vascular Bypass Graft - Non Cardiac,27,23,4.1,17.2
2025/26,Q2,Vancouver Island,All Facilities,Vascular Surgery - Other,50,85,2.3,8.3
2025/26,Q2,Vancouver Island,All Facilities,Wound/Laceration Care,60,50,4.8,32.1
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,All Procedures,771,767,9.4,29.5
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Biopsy in OR,6,<5,,
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Breast Reconstruction,<5,<5,,
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Breast Reduction,8,7,19,48.4
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Cataract Surgery,304,578,9.1,23.1
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Dental Surgery,180,97,13.4,45.2
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Hernia Repair - Abdominal,29,10,8.1,17.5
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Other Eye Surgery,<5,<5,,
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Other Orthopaedic Surgery,<5,<5,,
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Skin Tumour Removal,<5,<5,,
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Varicose Veins Ligation/Stripping,235,57,31.4,35.9
2025/26,Q2,Vancouver Island,Centre Island Surgical Centre,Vascular Surgery - Other,<5,0,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Abdominoplasty,5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,All Other Procedures,<5,7,8.3,18.1
2025/26,Q2,Vancouver Island,Cowichan District Hospital,All Procedures,1231,1204,6.1,17.3
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Bladder Surgery,13,30,2.4,5
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Bowel Resection,5,8,3.9,10.5
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Breast Biopsy,<5,0,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Breast Reconstruction,5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Breast Reduction,44,11,42,63
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Cataract Surgery,266,448,7.7,11.6
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Cholecystectomy,9,15,4,8.6
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Colostomy/Ileostomy,<5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Cyst/Ganglion Removal,<5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Dental Surgery,33,56,2.8,14.4
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Examination Under Anaesthetic,<5,0,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Excision Lesion/Tumour,<5,0,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Fallopian Tube/Ovarian Surgery,20,15,12,28.1
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Foot/Ankle Surgery,<5,0,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Fracture Repair,<5,37,0.6,1.1
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Hand/Wrist Surgery,25,15,8.9,34
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Hernia Repair - Abdominal,59,49,3.7,11.5
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Hip Replacement,214,51,28.4,61.1
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Kidney/Bladder Stone Removal,9,43,3.1,8.3
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Knee - ACL Repair,<5,0,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Knee - Meniscectomy,7,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Knee Arthroscopy,12,21,8,28.1
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Knee Replacement,209,64,10.9,39.1
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Laparoscopy,<5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Male Reproductive Surgery,12,10,5.3,11.6
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Mastectomy,8,33,3.3,5.4
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Myringotomy,5,11,2.3,9
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Nasal Surgery,15,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Nerve Surgery,<5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Oral Cavity & Pharynx Surgery,<5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Other Eye Surgery,<5,9,5.6,14.2
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Other Joint Reconstruction,21,8,5.9,39
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Other Orthopaedic Surgery,27,17,4.4,34.3
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Other Urology Surgery,12,17,4.3,21.6
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Prostate Surgery,24,46,4.1,9.2
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Rectal Surgery,10,6,2.3,9.7
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Shoulder Surgery,44,12,17.3,34
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Sinus Surgery,<5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Skin Tumour Removal,8,8,3.6,7
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Tendon Surgery,<5,7,4.9,10.4
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Tonsillectomy/Adenoidectomy,12,15,4.9,10.2
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Uterine Surgery,62,86,5.9,19.1
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Vaginal Repair,<5,0,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Varicose Veins Ligation/Stripping,<5,0,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Vascular Surgery - Other,<5,<5,,
2025/26,Q2,Vancouver Island,Cowichan District Hospital,Wound/Laceration Care,<5,10,2.6,29.9
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Abdominoplasty,8,<5,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,All Other Procedures,70,57,3.1,12.4
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,All Procedures,4422,2285,8.9,45.5
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Appendectomy,<5,5,8.1,12
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Biopsy in OR,9,13,2.7,11.4
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Bladder Surgery,37,49,3,6.7
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Bowel Resection,33,31,3.3,15.9
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Breast Biopsy,5,12,2.5,12.1
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Breast Reconstruction,8,<5,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Breast Reduction,42,15,16.1,26.6
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Cataract Surgery,986,516,10,25
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Cholecystectomy,58,37,8.7,20.9
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Colostomy/Ileostomy,<5,5,18.4,33.1
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Cone Biopsy,<5,<5,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Cyst/Ganglion Removal,11,<5,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,D&C and Related Surgery,13,22,6.1,13.1
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Dental Surgery,451,121,22,58.6
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Examination Under Anaesthetic,<5,<5,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Excision Gynecomastia,<5,<5,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Excision Lesion/Tumour,46,26,4.4,27.8
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Facial Bone Reconstruction,27,22,10.9,25.5
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Fallopian Tube/Ovarian Surgery,31,33,4.9,17.5
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Fistula Repair - Non Vascular,<5,0,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Foot/Ankle Surgery,23,5,19.4,38
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Foreign Body Removal Surgery,10,<5,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Fracture Repair,13,<5,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Free Flap Graft,<5,0,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Hand/Wrist Surgery,11,6,9.7,14.8
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Hernia Repair - Abdominal,180,104,11.9,27.6
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Hernia Repair - Hiatal,<5,0,,
2025/26,Q2,Vancouver Island,Nanaimo Regional General Hospital,Hip Replacement,303,77,33.6,65.9
